Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region,Days Until Deadline,Is Online,Total Impressions,Application Status
Bid By Bit,K.J Somaiya College of Engineering,https://unstop.com/hackathons/bid-by-bit-kj-somaiya-college-of-engineering-1176115,2024-10-08 00:00:00,,open,16,1970-01-01 00:00:00.000000002,1994,"Strategy, Coding Challenge, Hackathon, College Festival, All","Strategy, Coding Challenge, Hackathon, College Festival, All",offline,-20004,0,2010,0
CraftNCode (State level for UP and Maharshtra),"International Institute of Information Technology (IIIT), Bhubaneswar",https://unstop.com/hackathons/craftncode-state-level-for-up-and-maharshtra-d3-techno-management-fest-international-institute-of-information-1175823,2024-10-08 00:00:00,,open,0,1970-01-01 00:00:00.000000009,6575,"Coding Challenge, Hackathon, Engineering Students, Undergraduate, Postgraduate","Coding Challenge, Hackathon, Engineering Students, Undergraduate, Postgraduate",offline,-20004,0,6575,0
Datamatics Hackathon,"Indian Institute of Technology (IIT), Bombay",https://unstop.com/hackathons/datamatics-hackathon-iit-bombay-1147972,2024-09-04 00:00:00,,open,63,1970-01-01 00:00:00.000000021,6668,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Awards, College Festival","Engineering Students, MBA Students, Undergraduate, Postgraduate, Awards, College Festival",online,-19970,1,6731,0
SARCathon 2024 - Hackathon,"Indian Institute of Technology (IIT), Bombay",https://unstop.com/hackathons/sarcathon-2024-hackathon-sarcathon-iit-bombay-1176090,2024-10-08 00:00:00,,open,39,1970-01-01 00:00:00.000000002,5839,"All, Coding Challenge, Hackathon","All, Coding Challenge, Hackathon",online,-20004,1,5878,0
Hackathon at Engineer NITK 2024,"National Institute of Technology Karnataka (NITK), Surathkal",https://unstop.com/hackathons/hackathon-at-engineer-nitk-2024-engineer-nitk-nitk-surathkal-1175755,2024-10-08 18:00:00,,open,64,1970-01-01 00:00:00.000000005,7897,"Hackathon, Coding Challenge, College Festival, Entrepreneurship, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Coding Challenge, College Festival, Entrepreneurship, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline,-20005,0,7961,0
Code Relay,Chandigarah University,https://unstop.com/hackathons/code-relay-chandigarah-university-1175892,2024-10-08 00:00:00,,open,48,1970-01-01 00:00:00.000000008,9958,"Coding Challenge, Hackathon, Designing, All","Coding Challenge, Hackathon, Designing, All",offline,-20004,0,10006,0
Competitive Programming,Women in Tech-NIT Srinagar,https://unstop.com/hackathons/competitive-programming-techvaganza-24-women-in-tech-nit-srinagar-1175837,2024-10-07 17:00:00,,open,10,1970-01-01 00:00:00.000000003,6279,"Engineering Students, Undergraduate, Coding Challenge, College Festival","Engineering Students, Undergraduate, Coding Challenge, College Festival",online,-20004,1,6289,0
MUJ Hacks 9.0,"Manipal University Jaipur, Jaipur, Rajasthan, India",https://unstop.com/hackathons/muj-hacks-90-elicit24-manipal-university-jaipur-jaipur-rajasthan-india-1164635,2024-09-26 00:00:00,,open,157,1970-01-01 00:00:00.000000002,17158,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Coding Challenge, College Festival, Hackathon","Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Coding Challenge, College Festival, Hackathon",online,-19992,1,17315,0
International Innovation Challenge(Hackathon),Manipal University Jaipur,https://unstop.com/hackathons/international-innovation-challengehackathon-manipal-university-jaipur-1174688,2024-10-04 00:00:00,,open,27,1970-01-01 00:00:00.000000009,17132,"Coding Challenge, College Festival, Entrepreneurship, Hackathon, Presentation, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students","Coding Challenge, College Festival, Entrepreneurship, Hackathon, Presentation, Engineering Students, MBA Students, Undergraduate, Postgraduate, School Students",offline,-20000,0,17159,0
i.mobilothon 4.0,Volkswagen Group Technology Solutions India,https://unstop.com/hackathons/imobilothon-40-volkswagen-group-technology-solutions-india-1172855,2024-10-01 00:00:00,hackathons,open,12817,1970-01-01 00:00:00.000000009,45209,"Postgraduate, Engineering Students, Undergraduate, Case Study","Postgraduate, Engineering Students, Undergraduate, Case Study",online,-19997,1,58026,0
