Position,Company,Location,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility
Merchandise / Retail Planner,Fashor Lifestyle Pvt. Ltd.,Unknown,https://unstop.com/jobs/merchandise-retail-planner-fashor-lifestyle-pvt-ltd-1176205,2024-10-09 00:00:00+05:30,,open,0,62.0,43,Experienced Professionals
Customer Success Executive,Planet nextgen technologies,Unknown,https://unstop.com/jobs/customer-success-executive-planet-nextgen-technologies-1176204,2024-10-09 00:00:00+05:30,,open,0,62.0,50,"Fresher, Undergraduate"
Direct Sales Executive,NTH Iconic Party Solutions Private Limited,Unknown,https://unstop.com/jobs/direct-sales-executive-nth-iconic-party-solutions-private-limited-1176181,2024-10-09 00:00:00+05:30,,open,0,62.0,717,Experienced Professionals
Customer Service Representative,Career Comfort Solutions,Unknown,https://unstop.com/jobs/customer-service-representative-career-comfort-solutions-1176024,2024-10-08 00:00:00+05:30,,open,50,62.0,5923,"Fresher, Engineering Students, MBA Students, Postgraduate, Undergraduate"
Operation Manager,Defitex Innovative Solutions Private Limited,Unknown,https://unstop.com/jobs/operation-manager-defitex-innovative-solutions-private-limited-1176026,2024-10-08 00:00:00+05:30,,open,2,62.0,5335,Experienced Professionals
Software Development Engineer,Mithra Enterprises,Unknown,https://unstop.com/jobs/software-development-engineer-mithra-enterprises-1175996,2024-10-08 00:00:00+05:30,,open,50,28.0,7294,"Fresher, Engineering Students, Postgraduate, Undergraduate"
Assistant Sales Manager,Homesfy Realty Limited,Unknown,https://unstop.com/jobs/assistant-sales-manager-homesfy-realty-limited-1175990,2024-10-08 00:00:00+05:30,,open,9,28.0,5949,"MBA Students, Postgraduate, Undergraduate, Fresher"
Channel Sales Manager,Homesfy Realty Limited,Unknown,https://unstop.com/jobs/channel-sales-manager-homesfy-realty-limited-1175965,2024-10-08 00:00:00+05:30,,open,0,28.0,4977,Experienced Professionals
Social Media Executive,Hunch Circle Pvt Ltd,Unknown,https://unstop.com/jobs/social-media-executive-hunch-circle-pvt-ltd-1175927,2024-10-08 00:00:00+05:30,,open,1,28.0,5177,Experienced Professionals
Branch Sales Executive,Trovoco Holidays,Unknown,https://unstop.com/jobs/branch-sales-executive-trovoco-holidays-1175977,2024-10-08 00:00:00+05:30,,open,1,62.0,5130,Experienced Professionals
Tendering Engineer,Creativve constructiion,Unknown,https://unstop.com/jobs/tendering-engineer-creativve-constructiion-1175970,2024-10-08 00:00:00+05:30,,open,0,62.0,5076,Experienced Professionals
Field Sales Executive,Compton Computers Private Limited,Unknown,https://unstop.com/jobs/field-sales-executive-compton-computers-private-limited-1175943,2024-10-08 00:00:00+05:30,,open,0,62.0,5710,Experienced Professionals
Academic Counsellor,EdVedha,Unknown,https://unstop.com/jobs/academic-counsellor-edvedha-1175956,2024-10-08 00:00:00+05:30,,open,16,28.0,6287,"Engineering Students, MBA Students, Postgraduate, Undergraduate, Fresher"
Telesales Executive,Zeev Hr Consultant And Placement Services,Unknown,https://unstop.com/jobs/telesales-executive-zeev-hr-consultant-and-placement-services-1175948,2024-10-08 00:00:00+05:30,,open,0,31.0,2717,Experienced Professionals
Business Operations Executive,MyCaptain,Unknown,https://unstop.com/jobs/business-operations-executive-mycaptain-1175937,2024-10-08 00:00:00+05:30,,open,11,28.0,4759,"MBA Students, Undergraduate, Postgraduate, Fresher"
EOR Sales Specialist,Avance Consulting Services,Unknown,https://unstop.com/jobs/eor-sales-specialist-avance-consulting-services-1175897,2024-10-08 00:00:00+05:30,,open,1,28.0,4173,Experienced Professionals
Telecaller Consultant,Datrax Servies Pvt Ltd,Unknown,https://unstop.com/jobs/telecaller-consultant-datrax-servies-pvt-ltd-1175924,2024-10-08 00:00:00+05:30,,open,1,28.0,4337,Experienced Professionals
Java Developer,CLO Technologies,Unknown,https://unstop.com/jobs/java-developer-clo-technologies-1175926,2024-10-08 00:00:00+05:30,,open,145,22.0,6967,"Engineering Students, Undergraduate, Fresher"
Human Resources Associate,AR Placements,Unknown,https://unstop.com/jobs/human-resources-associate-ar-placements-1175916,2024-10-08 00:00:00+05:30,,open,1,28.0,4802,Experienced Professionals
Senior Manager People Data Governance,LSEG,Unknown,https://unstop.com/jobs/senior-manager-people-data-governance-lseg-1175908,2024-10-08 00:00:00+05:30,,open,0,12.0,73,"Experienced Professionals, Graduate"
Point Sales Specialist,Jio,Unknown,https://unstop.com/jobs/point-sales-specialist-jio-1175910,2024-10-08 00:00:00+05:30,,open,0,12.0,88,"Fresher, Graduate"
Senior Manager Service Excellence People Operations,LSEG,Unknown,https://unstop.com/jobs/senior-manager-service-excellence-people-operations-lseg-1175906,2024-10-08 00:00:00+05:30,,open,0,31.0,63,Experienced Professionals
Senior Associate Learning System Solution,LSEG,Unknown,https://unstop.com/jobs/senior-associate-learning-system-solution-lseg-1175902,2024-10-08 00:00:00+05:30,,open,0,31.0,87,"Fresher, Graduate"
Control Management Analyst,American Express,Unknown,https://unstop.com/jobs/control-management-analyst-american-express-1175886,2024-10-08 00:00:00+05:30,,open,0,31.0,86,"Graduate, Fresher"
Financial System Analyst,American Express,Unknown,https://unstop.com/jobs/financial-system-analyst-american-express-1175899,2024-10-08 00:00:00+05:30,,open,0,31.0,84,"Graduate, Fresher"
Power Modelling System Consultant,"Council on Energy, Environment and Water",Unknown,https://unstop.com/jobs/power-modelling-system-consultant-council-on-energy-environment-and-water-1175882,2024-10-08 00:00:00+05:30,,open,0,31.0,33,"Graduate, Experienced Professionals"
Lead Analyst,American Express,Unknown,https://unstop.com/jobs/lead-analyst-american-express-1175893,2024-10-08 00:00:00+05:30,,open,0,31.0,34,Experienced Professionals
HR Consultant / Recruiter,Just Career Management,Unknown,https://unstop.com/jobs/hr-consultant-recruiter-just-career-management-1175896,2024-10-08 00:00:00+05:30,,open,4,13.0,5694,Experienced Professionals
Site Engineer Associate,AACSYS Engineers,"Chennai, Madurai",https://unstop.com/jobs/site-engineer-associate-aacsys-engineers-1175883,2024-10-08 00:00:00+05:30,jobs,open,2,62.0,6172,Experienced Professionals
Guest Service Associate,Cococart Ventures Pvt Ltd,Mumbai,https://unstop.com/jobs/guest-service-associate-cococart-ventures-pvt-ltd-1175866,2024-10-08 00:00:00+05:30,jobs,open,8,28.0,6295,Fresher
Digital Marketing Manager,Braintree Infotech,Chennai,https://unstop.com/jobs/digital-marketing-manager-braintree-infotech-1175855,2024-10-08 00:00:00+05:30,jobs,open,2,28.0,5787,Experienced Professionals
Customer Executive Internship,NoBroker,Unknown,https://unstop.com/jobs/customer-executive-internship-nobroker-1175822,2024-10-08 00:00:00+05:30,,open,12,28.0,5512,Fresher
Travel Agent / Consultant,Travel Junky,Delhi,https://unstop.com/jobs/travel-agent-consultant-travel-junky-1175864,2024-10-08 00:00:00+05:30,jobs,open,0,62.0,4472,Experienced Professionals
Tele Calling Executive,Ubergrad India Pvt. Ltd.,Unknown,https://unstop.com/jobs/tele-calling-executive-ubergrad-india-pvt-ltd-1175844,2024-10-08 00:00:00+05:30,,open,0,62.0,4543,Experienced Professionals
SEO Executive,Why Shy?,Gurgaon,https://unstop.com/jobs/seo-executive-why-shy-1175753,2024-10-08 00:00:00+05:30,jobs,open,1,28.0,4791,Experienced Professionals
Direct Sales Executive,PlanetSpark,"Gurgaon, Delhi, Kanpur",https://unstop.com/jobs/direct-sales-executive-planetspark-1175841,2024-10-08 00:00:00+05:30,jobs,open,3,5.0,4792,Experienced Professionals
NodeJS Developer,Acemagick,Unknown,https://unstop.com/jobs/nodejs-developer-acemagick-1175838,2024-10-08 00:00:00+05:30,jobs,open,2,28.0,6647,Experienced Professionals
Marketing Executives,Jessi Publications,Unknown,https://unstop.com/jobs/marketing-executives-jessi-publications-1175819,2024-10-08 00:00:00+05:30,,open,0,28.0,4375,Experienced Professionals
